-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 08/01/2019 through 08/31/2019 
Location: Latitude  44.9591   Longitude -93.2878 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 273.48 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
SZA                     CERES SYN1deg Solar Zenith Angle (Degrees) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PS                      MERRA-2 Surface Pressure (kPa) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SRF_ALB,SZA,ALLSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,RH2M,PS,WD10M
2019,8,1,0,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,16.71,82.31,98.84,168.33
2019,8,1,1,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,16.95,84.88,98.86,177.62
2019,8,1,2,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,17.03,88.44,98.88,185.42
2019,8,1,3,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,16.87,92.06,98.9,189.53
2019,8,1,4,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,16.48,95.5,98.92,191.14
2019,8,1,5,35.91,0.39,0.16,85.98,13.23,1.55,0.01,0.02,16.94,95.0,98.95,188.65
2019,8,1,6,164.69,0.51,0.17,75.81,71.38,8.06,0.05,0.23,18.82,86.81,98.97,181.9
2019,8,1,7,294.59,0.53,0.15,65.23,130.98,15.54,0.19,0.95,20.65,81.75,98.96,173.47
2019,8,1,8,457.66,0.6,0.15,54.62,208.25,26.51,0.49,2.45,23.19,68.06,98.95,184.55
2019,8,1,9,618.84,0.66,0.15,44.41,282.83,36.67,0.87,4.35,24.5,63.19,98.94,182.82
2019,8,1,10,777.56,0.72,0.15,35.34,354.0,46.72,1.27,6.38,25.61,60.31,98.92,181.05
2019,8,1,11,860.12,0.74,0.16,28.79,393.33,52.44,1.53,7.8,26.54,58.56,98.89,181.59
2019,8,1,12,868.45,0.73,0.13,26.88,396.27,53.12,1.59,8.1,27.34,57.19,98.85,186.84
2019,8,1,13,810.55,0.71,0.13,30.52,371.62,49.66,1.44,7.27,27.79,56.44,98.81,195.22
